MeanReturn, Timesteps, Time, Iteration, StdReturn, MaxReturn, MinReturn, EpLenMean, EpLenStd, Entropy, KL
28.863636363636363, 2628, 30/06/2019 00:58:07, 1, 16.092899209237522, 79.0, 10.0, 29.863636363636363, 16.092899209237522, 0.6826657652854919, 0.012556211091578007
49.13725490196079, 5185, 30/06/2019 00:58:09, 2, 33.60323257550173, 135.0, 13.0, 50.13725490196079, 33.60323257550173, 0.6596008539199829, 0.00303663476370275
67.97368421052632, 7806, 30/06/2019 00:58:10, 3, 43.92666546709608, 214.0, 14.0, 68.97368421052632, 43.92666546709608, 0.6436225771903992, 0.013921113684773445
143.44444444444446, 10406, 30/06/2019 00:58:12, 4, 70.55669290421885, 314.0, 42.0, 144.44444444444446, 70.55669290421885, 0.6139604449272156, 0.004691926296800375
146.05555555555554, 13053, 30/06/2019 00:58:14, 5, 43.247957205735574, 220.0, 71.0, 147.05555555555554, 43.247957205735574, 0.612646222114563, 0.0028088907711207867
156.875, 15579, 30/06/2019 00:58:15, 6, 54.49756301890939, 272.0, 80.0, 157.875, 54.49756301890939, 0.6043737530708313, 0.005549377296119928
168.9375, 18298, 30/06/2019 00:58:17, 7, 47.39919402004637, 268.0, 105.0, 169.9375, 47.39919402004637, 0.6085226535797119, 0.009340764954686165
176.13333333333333, 20955, 30/06/2019 00:58:18, 8, 38.02607292664103, 261.0, 119.0, 177.13333333333333, 38.02607292664103, 0.594504714012146, 0.004233332816511393
185.64285714285714, 23568, 30/06/2019 00:58:20, 9, 59.101132624942316, 318.0, 107.0, 186.64285714285714, 59.101132624942316, 0.6002678871154785, 0.00521100265905261
213.16666666666666, 26138, 30/06/2019 00:58:21, 10, 106.00773032608939, 500.0, 42.0, 214.16666666666666, 106.00773032608939, 0.5936334729194641, 0.0018642764771357179
205.76923076923077, 28826, 30/06/2019 00:58:23, 11, 51.33622779308652, 287.0, 110.0, 206.76923076923077, 51.33622779308652, 0.5954785346984863, 0.013334347866475582
237.36363636363637, 31448, 30/06/2019 00:58:25, 12, 51.81132331006897, 386.0, 181.0, 238.36363636363637, 51.81132331006897, 0.5873163938522339, 0.013693677261471748
254.36363636363637, 34257, 30/06/2019 00:58:26, 13, 51.06372618827777, 346.0, 194.0, 255.36363636363637, 51.06372618827777, 0.5821685194969177, 0.0049324678257107735
294.77777777777777, 36919, 30/06/2019 00:58:28, 14, 54.38295847818052, 353.0, 175.0, 295.77777777777777, 54.38295847818052, 0.5737881064414978, 0.003576283110305667
332.5, 39587, 30/06/2019 00:58:30, 15, 106.51877768731671, 500.0, 202.0, 333.5, 106.51877768731671, 0.5775722861289978, 0.006291050463914871
374.85714285714283, 42218, 30/06/2019 00:58:31, 16, 93.00296242813, 500.0, 274.0, 375.85714285714283, 93.00296242813, 0.5889482498168945, 0.005541897378861904
469.5, 45041, 30/06/2019 00:58:33, 17, 45.338541367509094, 500.0, 379.0, 470.5, 45.338541367509094, 0.5875057578086853, 0.005466009024530649
500.0, 48047, 30/06/2019 00:58:35, 18, 0.0, 500.0, 500.0, 501.0, 0.0, 0.5821499824523926, 0.004886129405349493
449.6666666666667, 50751, 30/06/2019 00:58:37, 19, 67.37375024608784, 500.0, 344.0, 450.6666666666667, 67.37375024608784, 0.5832661986351013, 0.005287701729685068
430.6666666666667, 53341, 30/06/2019 00:58:39, 20, 95.90562490745207, 500.0, 238.0, 431.6666666666667, 95.90562490745207, 0.5791832804679871, 0.011095408350229263
500.0, 56347, 30/06/2019 00:58:41, 21, 0.0, 500.0, 500.0, 501.0, 0.0, 0.5743838548660278, 0.0011456988286226988
497.1666666666667, 59336, 30/06/2019 00:58:43, 22, 6.335525936249404, 500.0, 483.0, 498.1666666666667, 6.335525936249404, 0.5728634595870972, 0.008727729320526123
500.0, 62342, 30/06/2019 00:58:45, 23, 0.0, 500.0, 500.0, 501.0, 0.0, 0.5773189067840576, 0.007593621499836445
500.0, 65348, 30/06/2019 00:58:47, 24, 0.0, 500.0, 500.0, 501.0, 0.0, 0.5803462862968445, 0.008772529661655426
496.8333333333333, 68335, 30/06/2019 00:58:49, 25, 7.080881928749334, 500.0, 481.0, 497.8333333333333, 7.080881928749334, 0.5805753469467163, 0.0025181262753903866
