MeanReturn, Timesteps, Time, Iteration, StdReturn, MaxReturn, MinReturn, EpLenMean, EpLenStd, NEpisodes
25.210526315789473, 1500, 12/06/2019 17:16:44, 0, 12.878292414464946, 65.0, 10.0, 25.210526315789473, 12.878292414464946, 59
27.446153846153845, 2000, 12/06/2019 17:16:51, 1, 15.858053784197013, 99.0, 10.0, 27.446153846153845, 15.858053784197013, 67
31.901408450704224, 2500, 12/06/2019 17:16:59, 2, 22.90159901519731, 122.0, 10.0, 31.901408450704224, 22.90159901519731, 73
35.16, 3000, 12/06/2019 17:17:07, 3, 26.38587500917868, 122.0, 10.0, 35.16, 26.38587500917868, 77
39.65384615384615, 3500, 12/06/2019 17:17:15, 4, 34.302136781419364, 161.0, 10.0, 39.65384615384615, 34.302136781419364, 80
46.26829268292683, 4000, 12/06/2019 17:17:24, 5, 45.51334534399928, 242.0, 10.0, 46.26829268292683, 45.51334534399928, 84
48.96470588235294, 4500, 12/06/2019 17:17:33, 6, 47.35608466000181, 242.0, 10.0, 48.96470588235294, 47.35608466000181, 87
51.92045454545455, 5000, 12/06/2019 17:17:43, 7, 49.79417216513967, 242.0, 10.0, 51.92045454545455, 49.79417216513967, 90
56.13186813186813, 5500, 12/06/2019 17:17:51, 8, 55.090377052284104, 261.0, 10.0, 56.13186813186813, 55.090377052284104, 93
56.95652173913044, 6000, 12/06/2019 17:18:00, 9, 55.35201835279169, 261.0, 10.0, 56.95652173913044, 55.35201835279169, 94
63.16842105263158, 6500, 12/06/2019 17:18:08, 10, 64.74608748700841, 305.0, 10.0, 63.16842105263158, 64.74608748700841, 97
65.5360824742268, 7000, 12/06/2019 17:18:17, 11, 66.12594385437816, 305.0, 10.0, 65.5360824742268, 66.12594385437816, 99
66.4795918367347, 7500, 12/06/2019 17:18:25, 12, 66.44074075811064, 305.0, 10.0, 66.4795918367347, 66.44074075811064, 100
66.4795918367347, 8000, 12/06/2019 17:18:34, 13, 66.44074075811064, 305.0, 10.0, 66.4795918367347, 66.44074075811064, 100
68.23232323232324, 8500, 12/06/2019 17:18:42, 14, 68.34358064818315, 305.0, 10.0, 68.23232323232324, 68.34358064818315, 101
70.07, 9000, 12/06/2019 17:18:50, 15, 70.41636954572424, 305.0, 10.0, 70.07, 70.41636954572424, 102
85.84313725490196, 9500, 12/06/2019 17:18:58, 16, 132.70140040176292, 1000.0, 10.0, 85.84313725490196, 132.70140040176292, 104
88.75728155339806, 10000, 12/06/2019 17:19:07, 17, 135.2956106191336, 1000.0, 10.0, 88.75728155339806, 135.2956106191336, 105
89.83653846153847, 10500, 12/06/2019 17:19:17, 18, 135.08836926654595, 1000.0, 10.0, 89.83653846153847, 135.08836926654595, 106
93.6, 11000, 12/06/2019 17:19:28, 19, 139.81447571352408, 1000.0, 10.0, 93.6, 139.81447571352408, 107
100.1588785046729, 11500, 12/06/2019 17:19:36, 20, 146.4338802998706, 1000.0, 10.0, 100.1588785046729, 146.4338802998706, 109
100.1588785046729, 12000, 12/06/2019 17:19:44, 21, 146.4338802998706, 1000.0, 10.0, 100.1588785046729, 146.4338802998706, 109
102.89814814814815, 12500, 12/06/2019 17:19:52, 22, 148.48306673719313, 1000.0, 10.0, 102.89814814814815, 148.48306673719313, 110
102.89814814814815, 13000, 12/06/2019 17:20:01, 23, 148.48306673719313, 1000.0, 10.0, 102.89814814814815, 148.48306673719313, 110
105.40366972477064, 13500, 12/06/2019 17:20:10, 24, 150.0764404168239, 1000.0, 10.0, 105.40366972477064, 150.0764404168239, 111
118.91891891891892, 14000, 12/06/2019 17:20:18, 25, 180.13444104135587, 1000.0, 10.0, 118.91891891891892, 180.13444104135587, 113
120.88392857142857, 14500, 12/06/2019 17:20:26, 26, 180.5195253356918, 1000.0, 10.0, 120.88392857142857, 180.5195253356918, 114
122.99115044247787, 15000, 12/06/2019 17:20:35, 27, 181.09731875358736, 1000.0, 10.0, 122.99115044247787, 181.09731875358736, 115
124.83333333333333, 15500, 12/06/2019 17:20:43, 28, 181.36161012113612, 1000.0, 10.0, 124.83333333333333, 181.36161012113612, 116
131.33620689655172, 16000, 12/06/2019 17:20:51, 29, 187.03899390443905, 1000.0, 10.0, 131.33620689655172, 187.03899390443905, 118
133.11111111111111, 16500, 12/06/2019 17:20:59, 30, 187.21648777644194, 1000.0, 10.0, 133.11111111111111, 187.21648777644194, 119
136.84873949579833, 17000, 12/06/2019 17:21:07, 31, 187.8267411293852, 1000.0, 10.0, 136.84873949579833, 187.8267411293852, 121
138.7520661157025, 17500, 12/06/2019 17:21:16, 32, 186.93523344729755, 1000.0, 10.0, 138.7520661157025, 186.93523344729755, 123
140.0, 18000, 12/06/2019 17:21:25, 33, 186.672940956224, 1000.0, 10.0, 140.0, 186.672940956224, 124
141.58536585365854, 18500, 12/06/2019 17:21:35, 34, 186.73540808151574, 1000.0, 10.0, 141.58536585365854, 186.73540808151574, 125
145.64, 19000, 12/06/2019 17:21:44, 35, 188.04286319879304, 1000.0, 10.0, 145.64, 188.04286319879304, 127
148.0551181102362, 19500, 12/06/2019 17:21:54, 36, 187.53083975610977, 1000.0, 10.0, 148.0551181102362, 187.53083975610977, 129
149.3125, 20000, 12/06/2019 17:22:01, 37, 187.33354069346473, 1000.0, 10.0, 149.3125, 187.33354069346473, 130
150.5891472868217, 20500, 12/06/2019 17:22:09, 38, 187.16417418745738, 1000.0, 10.0, 150.5891472868217, 187.16417418745738, 131
154.3587786259542, 21000, 12/06/2019 17:22:17, 39, 188.20968770250144, 1000.0, 10.0, 154.3587786259542, 188.20968770250144, 133
157.33834586466165, 21500, 12/06/2019 17:22:24, 40, 188.3545244358609, 1000.0, 10.0, 157.33834586466165, 188.3545244358609, 135
157.17164179104478, 22000, 12/06/2019 17:22:33, 41, 187.6602410247936, 1000.0, 10.0, 157.17164179104478, 187.6602410247936, 136
158.77777777777777, 22500, 12/06/2019 17:22:42, 42, 187.88608316454304, 1000.0, 10.0, 158.77777777777777, 187.88608316454304, 137
158.77777777777777, 23000, 12/06/2019 17:22:50, 43, 187.88608316454304, 1000.0, 10.0, 158.77777777777777, 187.88608316454304, 137
160.375, 23500, 12/06/2019 17:22:58, 44, 188.1117056080368, 1000.0, 10.0, 160.375, 188.1117056080368, 138
161.77372262773721, 24000, 12/06/2019 17:23:06, 45, 188.13238826390116, 1000.0, 10.0, 161.77372262773721, 188.13238826390116, 139
167.84782608695653, 24500, 12/06/2019 17:23:14, 46, 200.4791688254799, 1000.0, 10.0, 167.84782608695653, 200.4791688254799, 140
173.06428571428572, 25000, 12/06/2019 17:23:22, 47, 203.93392524871126, 1000.0, 10.0, 173.06428571428572, 203.93392524871126, 142
173.06428571428572, 25500, 12/06/2019 17:23:30, 48, 203.93392524871126, 1000.0, 10.0, 173.06428571428572, 203.93392524871126, 142
174.82269503546098, 26000, 12/06/2019 17:23:38, 49, 204.2718007042322, 1000.0, 10.0, 174.82269503546098, 204.2718007042322, 143
174.82269503546098, 26500, 12/06/2019 17:23:46, 50, 204.2718007042322, 1000.0, 10.0, 174.82269503546098, 204.2718007042322, 143
174.94366197183098, 27000, 12/06/2019 17:23:54, 51, 203.5563310845873, 1000.0, 10.0, 174.94366197183098, 203.5563310845873, 144
174.94366197183098, 27500, 12/06/2019 17:24:02, 52, 203.5563310845873, 1000.0, 10.0, 174.94366197183098, 203.5563310845873, 144
180.71328671328672, 28000, 12/06/2019 17:24:10, 53, 214.17843101716323, 1000.0, 10.0, 180.71328671328672, 214.17843101716323, 145
180.71328671328672, 28500, 12/06/2019 17:24:19, 54, 214.17843101716323, 1000.0, 10.0, 180.71328671328672, 214.17843101716323, 145
186.40277777777777, 29000, 12/06/2019 17:24:27, 55, 224.01516936001244, 1000.0, 10.0, 186.40277777777777, 224.01516936001244, 146
186.40277777777777, 29500, 12/06/2019 17:24:35, 56, 224.01516936001244, 1000.0, 10.0, 186.40277777777777, 224.01516936001244, 146
192.01379310344828, 30000, 12/06/2019 17:24:44, 57, 233.174464391436, 1000.0, 10.0, 192.01379310344828, 233.174464391436, 147
192.01379310344828, 30500, 12/06/2019 17:24:55, 58, 233.174464391436, 1000.0, 10.0, 192.01379310344828, 233.174464391436, 147
197.54794520547946, 31000, 12/06/2019 17:25:05, 59, 241.74123157567274, 1000.0, 10.0, 197.54794520547946, 241.74123157567274, 148
197.54794520547946, 31500, 12/06/2019 17:25:15, 60, 241.74123157567274, 1000.0, 10.0, 197.54794520547946, 241.74123157567274, 148
203.00680272108843, 32000, 12/06/2019 17:25:23, 61, 249.78381119415118, 1000.0, 10.0, 203.00680272108843, 249.78381119415118, 149
203.00680272108843, 32500, 12/06/2019 17:25:32, 62, 249.78381119415118, 1000.0, 10.0, 203.00680272108843, 249.78381119415118, 149
208.3918918918919, 33000, 12/06/2019 17:25:40, 63, 257.3582431935375, 1000.0, 10.0, 208.3918918918919, 257.3582431935375, 150
208.3918918918919, 33500, 12/06/2019 17:25:48, 64, 257.3582431935375, 1000.0, 10.0, 208.3918918918919, 257.3582431935375, 150
213.70469798657717, 34000, 12/06/2019 17:25:57, 65, 264.51121196103713, 1000.0, 10.0, 213.70469798657717, 264.51121196103713, 151
213.70469798657717, 34500, 12/06/2019 17:26:05, 66, 264.51121196103713, 1000.0, 10.0, 213.70469798657717, 264.51121196103713, 151
218.94666666666666, 35000, 12/06/2019 17:26:13, 67, 271.28213571032563, 1000.0, 10.0, 218.94666666666666, 271.28213571032563, 152
218.94666666666666, 35500, 12/06/2019 17:26:21, 68, 271.28213571032563, 1000.0, 10.0, 218.94666666666666, 271.28213571032563, 152
224.11920529801324, 36000, 12/06/2019 17:26:30, 69, 277.70468680752424, 1000.0, 10.0, 224.11920529801324, 277.70468680752424, 153
224.11920529801324, 36500, 12/06/2019 17:26:38, 70, 277.70468680752424, 1000.0, 10.0, 224.11920529801324, 277.70468680752424, 153
229.22368421052633, 37000, 12/06/2019 17:26:46, 71, 283.8079223832189, 1000.0, 10.0, 229.22368421052633, 283.8079223832189, 154
229.22368421052633, 37500, 12/06/2019 17:26:54, 72, 283.8079223832189, 1000.0, 10.0, 229.22368421052633, 283.8079223832189, 154
234.26143790849673, 38000, 12/06/2019 17:27:03, 73, 289.6171412623312, 1000.0, 10.0, 234.26143790849673, 289.6171412623312, 155
234.26143790849673, 38500, 12/06/2019 17:27:11, 74, 289.6171412623312, 1000.0, 10.0, 234.26143790849673, 289.6171412623312, 155
239.23376623376623, 39000, 12/06/2019 17:27:19, 75, 295.1545444231, 1000.0, 10.0, 239.23376623376623, 295.1545444231, 156
239.23376623376623, 39500, 12/06/2019 17:27:28, 76, 295.1545444231, 1000.0, 10.0, 239.23376623376623, 295.1545444231, 156
244.14193548387098, 40000, 12/06/2019 17:27:36, 77, 300.4397516482255, 1000.0, 10.0, 244.14193548387098, 300.4397516482255, 157
244.14193548387098, 40500, 12/06/2019 17:27:44, 78, 300.4397516482255, 1000.0, 10.0, 244.14193548387098, 300.4397516482255, 157
248.98717948717947, 41000, 12/06/2019 17:27:52, 79, 305.49021108114687, 1000.0, 10.0, 248.98717948717947, 305.49021108114687, 158
248.98717948717947, 41500, 12/06/2019 17:28:01, 80, 305.49021108114687, 1000.0, 10.0, 248.98717948717947, 305.49021108114687, 158
253.77070063694268, 42000, 12/06/2019 17:28:09, 81, 310.3215277845149, 1000.0, 10.0, 253.77070063694268, 310.3215277845149, 159
253.77070063694268, 42500, 12/06/2019 17:28:17, 82, 310.3215277845149, 1000.0, 10.0, 253.77070063694268, 310.3215277845149, 159
258.49367088607596, 43000, 12/06/2019 17:28:25, 83, 314.9477301787591, 1000.0, 10.0, 258.49367088607596, 314.9477301787591, 160
258.49367088607596, 43500, 12/06/2019 17:28:33, 84, 314.9477301787591, 1000.0, 10.0, 258.49367088607596, 314.9477301787591, 160
263.15723270440253, 44000, 12/06/2019 17:28:41, 85, 319.3814882335924, 1000.0, 10.0, 263.15723270440253, 319.3814882335924, 161
263.15723270440253, 44500, 12/06/2019 17:28:50, 86, 319.3814882335924, 1000.0, 10.0, 263.15723270440253, 319.3814882335924, 161
267.7625, 45000, 12/06/2019 17:28:58, 87, 323.63429375415393, 1000.0, 10.0, 267.7625, 323.63429375415393, 162
267.7625, 45500, 12/06/2019 17:29:06, 88, 323.63429375415393, 1000.0, 10.0, 267.7625, 323.63429375415393, 162
272.3105590062112, 46000, 12/06/2019 17:29:14, 89, 327.71661057234974, 1000.0, 10.0, 272.3105590062112, 327.71661057234974, 163
