MeanReturn, Timesteps, Time, StdReturn, MaxReturn, MinReturn, EpLenMean, EpLenStd, Exploration
-136.27577349505134, 10000, 09/06/2019 20:25:45, 91.19165157238163, 38.29159111186087, -440.24268763892843, 96.73, 22.447206953204667, 0.804
-94.07454765819642, 20000, 09/06/2019 20:26:18, 65.91613065019139, 97.93114728931837, -302.13190775405644, 123.98, 92.80042887831931, 0.608
-76.52306636362653, 30000, 09/06/2019 20:27:01, 69.9450108335954, 100.52030061508445, -302.13190775405644, 190.68, 213.8641568846916, 0.41200000000000003
-66.57325790561707, 40000, 09/06/2019 20:27:59, 70.10898829993587, 159.1273136135014, -254.42525107802743, 279.36, 320.4945403591144, 0.21599999999999997
-66.40598154212655, 50000, 09/06/2019 20:29:22, 74.78189021137766, 192.17571054244442, -254.42525107802743, 370.3, 378.8518047997132, 0.02
-64.05237622029314, 60000, 09/06/2019 20:30:35, 74.89206327327523, 192.17571054244442, -254.42525107802743, 459.76, 408.89157780516837, 0.02
-60.47731961753533, 70000, 09/06/2019 20:31:36, 71.80619836314041, 192.17571054244442, -254.42525107802743, 541.15, 418.71222516186464, 0.02
-58.95315109541967, 80000, 09/06/2019 20:32:38, 76.89728830846386, 211.81678106974258, -311.7871495640616, 622.58, 412.5248884612903, 0.02
-30.04312475867907, 90000, 09/06/2019 20:33:53, 112.7972126552339, 292.17460505841746, -311.7871495640616, 693.14, 378.40996339948555, 0.02
4.422086814569351, 100000, 09/06/2019 20:34:49, 136.90971086381452, 292.17460505841746, -311.7871495640616, 750.22, 326.67257552479055, 0.02
39.36502276276213, 110000, 09/06/2019 20:35:41, 149.57703413621104, 292.17460505841746, -311.7871495640616, 727.0, 309.53432766011593, 0.02
75.29175089950355, 120000, 09/06/2019 20:36:30, 148.8220289556072, 292.17460505841746, -311.7871495640616, 631.95, 314.6351021421481, 0.02
103.320503387374, 130000, 09/06/2019 20:37:36, 147.67894433586667, 292.17460505841746, -311.7871495640616, 549.64, 292.8281926317888, 0.02
113.35058466093663, 140000, 09/06/2019 20:38:23, 141.9266095177415, 302.66080735101195, -191.86534947005288, 540.93, 286.5656732757781, 0.02
125.99849768696697, 150000, 09/06/2019 20:39:18, 140.13761870312143, 302.66080735101195, -191.86534947005288, 519.61, 294.10606573139563, 0.02
