MeanReturn, Timesteps, Time, Iteration, StdReturn, MaxReturn, MinReturn, EpLenMean, EpLenStd, Entropy, KL
21.839130434782607, 5023, 11/06/2019 13:31:45, 1, 12.077835939562467, 77.0, 7.0, 21.839130434782607, 12.077835939562467, 2.8859481811523438, 0.005413897335529327
23.171296296296298, 10028, 11/06/2019 13:31:52, 2, 11.61589389208633, 62.0, 7.0, 23.171296296296298, 11.61589389208633, 2.8632090091705322, 0.008124432526528835
27.65745856353591, 15034, 11/06/2019 13:31:58, 3, 16.87044596720137, 100.0, 8.0, 27.65745856353591, 16.87044596720137, 2.897401809692383, 0.00632717227563262
29.80952380952381, 20042, 11/06/2019 13:32:03, 4, 18.176696351356952, 120.0, 7.0, 29.80952380952381, 18.176696351356952, 2.8951845169067383, 0.0035422781948000193
31.559748427672957, 25060, 11/06/2019 13:32:08, 5, 18.931718150711234, 122.0, 8.0, 31.559748427672957, 18.931718150711234, 2.8683276176452637, 0.004586672410368919
36.89705882352941, 30078, 11/06/2019 13:32:13, 6, 23.362010203774112, 167.0, 8.0, 36.89705882352941, 23.362010203774112, 2.9062564373016357, -0.0012030405923724174
39.5546875, 35141, 11/06/2019 13:32:19, 7, 22.93155869707386, 133.0, 9.0, 39.5546875, 22.93155869707386, 2.931290626525879, 0.001594480243511498
39.23255813953488, 40202, 11/06/2019 13:32:25, 8, 23.70572548115128, 145.0, 10.0, 39.23255813953488, 23.70572548115128, 2.867844820022583, 0.002319539897143841
46.981308411214954, 45229, 11/06/2019 13:32:30, 9, 22.9705139349905, 120.0, 14.0, 46.981308411214954, 22.9705139349905, 2.8828885555267334, 0.0029605869203805923
48.71153846153846, 50295, 11/06/2019 13:32:36, 10, 26.20652923521566, 146.0, 9.0, 48.71153846153846, 26.20652923521566, 2.877591848373413, 0.004690876230597496
51.33673469387755, 55326, 11/06/2019 13:32:41, 11, 28.889283330996502, 149.0, 9.0, 51.33673469387755, 28.889283330996502, 2.8775882720947266, 0.003252060618251562
54.06382978723404, 60408, 11/06/2019 13:32:47, 12, 27.213032121533672, 152.0, 11.0, 54.06382978723404, 27.213032121533672, 2.921130895614624, 0.000866565213073045
55.175824175824175, 65429, 11/06/2019 13:32:53, 13, 24.855889437019744, 150.0, 14.0, 55.175824175824175, 24.855889437019744, 2.8924829959869385, 0.0022033776622265577
55.733333333333334, 70445, 11/06/2019 13:32:58, 14, 30.789175587100953, 173.0, 13.0, 55.733333333333334, 30.789175587100953, 2.865626573562622, 0.003687883960083127
68.9041095890411, 75475, 11/06/2019 13:33:04, 15, 45.90853455246762, 250.0, 18.0, 68.9041095890411, 45.90853455246762, 2.8811099529266357, 0.0013197953812777996
75.9090909090909, 80485, 11/06/2019 13:33:09, 16, 41.73172881732369, 244.0, 23.0, 75.9090909090909, 41.73172881732369, 2.8481709957122803, -0.0003466849448159337
99.72549019607843, 85571, 11/06/2019 13:33:15, 17, 52.71234495859786, 301.0, 20.0, 99.72549019607843, 52.71234495859786, 2.8920602798461914, -0.0010101926745846868
102.82, 90712, 11/06/2019 13:33:21, 18, 48.620032908257066, 233.0, 24.0, 102.82, 48.620032908257066, 2.8356082439422607, 0.002493892563506961
103.42857142857143, 95780, 11/06/2019 13:33:27, 19, 53.61579115544682, 331.0, 26.0, 103.42857142857143, 53.61579115544682, 2.8641984462738037, 0.002466300968080759
124.16666666666667, 100995, 11/06/2019 13:33:32, 20, 73.72468626640173, 356.0, 26.0, 124.16666666666667, 73.72468626640173, 2.8427393436431885, -0.0012829148909077048
129.23076923076923, 106035, 11/06/2019 13:33:40, 21, 56.50525799834531, 287.0, 26.0, 129.23076923076923, 56.50525799834531, 2.859163761138916, 0.008806553669273853
129.28205128205127, 111077, 11/06/2019 13:33:45, 22, 66.81046621445057, 451.0, 40.0, 129.28205128205127, 66.81046621445057, 2.865539073944092, 0.00037717176019214094
155.4848484848485, 116208, 11/06/2019 13:33:52, 23, 57.19139647742175, 305.0, 83.0, 155.4848484848485, 57.19139647742175, 2.868103504180908, 0.0013362535974010825
167.9, 121245, 11/06/2019 13:33:59, 24, 71.50960308471396, 405.0, 61.0, 167.9, 71.50960308471396, 2.852834463119507, 0.0005280649638734758
181.93103448275863, 126521, 11/06/2019 13:34:05, 25, 103.49843611494906, 410.0, 77.0, 181.93103448275863, 103.49843611494906, 2.832326650619507, -0.001855310401879251
