MeanReturn, Timesteps, Time, Iteration, StdReturn, MaxReturn, MinReturn, EpLenMean, EpLenStd, NEpisodes
-276.2185823241237, 2000, 10/06/2019 15:40:43, 0, 127.27176086984717, -63.42325492281326, -436.05964139711483, 94.0, 13.627702877384937, 17
-284.32360609744325, 3000, 10/06/2019 15:40:56, 1, 115.37041453942473, -63.42325492281326, -436.05964139711483, 103.66666666666667, 22.271057451320086, 19
-278.1860734701422, 4000, 10/06/2019 15:41:09, 2, 126.42059807455819, -63.42325492281326, -436.05964139711483, 103.18181818181819, 23.88540132998009, 21
-314.94447616379904, 5000, 10/06/2019 15:41:21, 3, 171.79436012438725, -63.42325492281326, -719.2869057940243, 104.33333333333333, 23.185244349705602, 22
-332.85218612418817, 6000, 10/06/2019 15:41:35, 4, 176.32719889379976, -63.42325492281326, -719.2869057940243, 105.53846153846153, 22.663475816711667, 23
-360.96834611409724, 7000, 10/06/2019 15:41:49, 5, 189.33915513294494, -63.42325492281326, -719.2869057940243, 111.8, 27.597584435357142, 25
-367.27744998289893, 8000, 10/06/2019 15:42:03, 6, 184.94811518832452, -63.42325492281326, -719.2869057940243, 110.875, 26.960329653029095, 26
-371.6324115230838, 9000, 10/06/2019 15:42:17, 7, 180.26965955803794, -63.42325492281326, -719.2869057940243, 109.47058823529412, 26.751839182642737, 27
-352.3689115466318, 10000, 10/06/2019 15:42:31, 8, 192.3542415935869, -24.889411946947718, -719.2869057940243, 114.83333333333333, 34.12924780236968, 28
-348.19331222422636, 11000, 10/06/2019 15:42:45, 9, 188.06014743617857, -24.889411946947718, -719.2869057940243, 120.36842105263158, 40.681316707868156, 29
-335.9884690782411, 12000, 10/06/2019 15:42:59, 10, 190.86249979808838, -24.889411946947718, -719.2869057940243, 164.35, 195.76881135666122, 30
-323.9291541178832, 13000, 10/06/2019 15:43:15, 11, 193.91324140732596, -24.889411946947718, -719.2869057940243, 178.0952380952381, 200.69638399521014, 31
-320.998037677197, 14000, 10/06/2019 15:43:30, 12, 189.93042936739985, -24.889411946947718, -719.2869057940243, 186.6818181818182, 199.99122398100744, 32
-308.86173104527074, 15000, 10/06/2019 15:43:44, 13, 194.28209040029807, -24.889411946947718, -719.2869057940243, 222.04347826086956, 256.4514494709043, 33
-295.5053270544258, 16000, 10/06/2019 15:43:57, 14, 200.68844346543688, 11.691964735008256, -719.2869057940243, 254.45833333333334, 295.28573438375844, 34
-287.0694340700833, 17000, 10/06/2019 15:44:10, 15, 200.92973960465727, 11.691964735008256, -719.2869057940243, 264.0, 293.07159534830396, 35
-270.92673931255746, 18000, 10/06/2019 15:44:23, 16, 202.33430268625992, 11.691964735008256, -719.2869057940243, 318.51851851851853, 341.5875106540669, 37
-266.2654334511024, 19000, 10/06/2019 15:44:37, 17, 200.15920333752695, 11.691964735008256, -719.2869057940243, 323.89285714285717, 336.59273178700215, 38
-258.34199115596783, 20000, 10/06/2019 15:44:51, 18, 201.09715515718636, 11.691964735008256, -719.2869057940243, 347.2068965517241, 352.99744839464097, 39
-250.36486958900787, 21000, 10/06/2019 15:45:05, 19, 202.33008477460137, 11.691964735008256, -719.2869057940243, 368.96666666666664, 366.31238793624703, 40
-244.02354166481976, 22000, 10/06/2019 15:45:18, 20, 202.04769998930894, 11.691964735008256, -719.2869057940243, 389.3225806451613, 377.2096522468361, 41
