Time, Iteration, MeanReturn, StdReturn, MaxReturn, MinReturn, PolicyEntopy, KL, EpLenMean, EpLenStd, Timesteps
02/06/2019 14:38:11, 1, 23.39814814814815, 13.37904650786197, 95.0, 6.0, 3.0295050144195557, -0.0006226673140190542, 23.39814814814815, 13.37904650786197, 5054
02/06/2019 14:38:14, 2, 23.824644549763033, 12.805232907001928, 104.0, 8.0, 3.032834053039551, -0.0010375544661656022, 23.824644549763033, 12.805232907001928, 10081
02/06/2019 14:38:18, 3, 25.446700507614214, 14.342562117631617, 103.0, 7.0, 3.0051703453063965, 0.002298214239999652, 25.446700507614214, 14.342562117631617, 15094
02/06/2019 14:38:22, 4, 28.942528735632184, 16.52191600717135, 94.0, 7.0, 3.0121052265167236, 0.0013352265814319253, 28.942528735632184, 16.52191600717135, 20130
02/06/2019 14:38:25, 5, 28.99421965317919, 18.372666651370682, 104.0, 7.0, 3.0144290924072266, 0.005874401889741421, 28.99421965317919, 18.372666651370682, 25146
02/06/2019 14:38:30, 6, 34.73972602739726, 21.000996321610113, 103.0, 6.0, 2.995732307434082, 0.008644924499094486, 34.73972602739726, 21.000996321610113, 30218
02/06/2019 14:38:36, 7, 39.8968253968254, 22.955730122944253, 116.0, 12.0, 2.9821183681488037, 0.0019268516916781664, 39.8968253968254, 22.955730122944253, 35245
02/06/2019 14:38:41, 8, 46.398148148148145, 33.279662295410546, 206.0, 10.0, 2.9911067485809326, 0.006577256601303816, 46.398148148148145, 33.279662295410546, 40256
02/06/2019 14:38:44, 9, 52.36082474226804, 31.45416746420404, 152.0, 9.0, 2.8940181732177734, 0.0034677376970648766, 52.36082474226804, 31.45416746420404, 45335
02/06/2019 14:38:49, 10, 69.13698630136986, 43.02923984139831, 254.0, 10.0, 2.9341163635253906, 0.002168990671634674, 69.13698630136986, 43.02923984139831, 50382
02/06/2019 14:38:52, 11, 72.07142857142857, 44.225500539385465, 273.0, 17.0, 2.9363491535186768, 0.011231021024286747, 72.07142857142857, 44.225500539385465, 55427
02/06/2019 14:38:55, 12, 105.375, 53.80622059762236, 280.0, 37.0, 2.9111900329589844, 0.01831883005797863, 105.375, 53.80622059762236, 60485
02/06/2019 14:38:58, 13, 106.68085106382979, 51.12109377803769, 273.0, 22.0, 2.899599552154541, 0.016914553940296173, 106.68085106382979, 51.12109377803769, 65499
02/06/2019 14:39:02, 14, 154.0, 80.6924576851686, 392.0, 38.0, 2.8817758560180664, 0.01496371440589428, 154.0, 80.6924576851686, 70581
02/06/2019 14:39:05, 15, 197.0, 106.54179389401065, 462.0, 77.0, 2.8810298442840576, 0.014978790655732155, 197.0, 106.54179389401065, 75703
02/06/2019 14:39:08, 16, 203.8846153846154, 117.0204870041918, 525.0, 38.0, 2.8888778686523438, 0.0009018843411467969, 203.8846153846154, 117.0204870041918, 81004
02/06/2019 14:39:12, 17, 279.7368421052632, 172.961767027241, 723.0, 94.0, 2.8530921936035156, 0.0066403537057340145, 279.7368421052632, 172.961767027241, 86319
02/06/2019 14:39:16, 18, 377.2142857142857, 262.3588541813425, 1000.0, 87.0, 2.9101572036743164, 0.012743194587528706, 377.2142857142857, 262.3588541813425, 91600
02/06/2019 14:39:20, 19, 503.4, 216.65373294730003, 827.0, 204.0, 2.8217363357543945, 0.01547201443463564, 503.4, 216.65373294730003, 96634
02/06/2019 14:39:24, 20, 431.25, 196.61685456745565, 888.0, 124.0, 2.848581314086914, -0.0013793566031381488, 431.25, 196.61685456745565, 101809
02/06/2019 14:39:27, 21, 469.5, 241.6586780288816, 1000.0, 125.0, 2.802549362182617, 0.007817801088094711, 469.5, 241.6586780288816, 107443
02/06/2019 14:39:31, 22, 520.7, 211.86649097957894, 783.0, 118.0, 2.8229634761810303, 0.03455039858818054, 520.7, 211.86649097957894, 112650
02/06/2019 14:39:34, 23, 762.7142857142857, 192.82687593183854, 1000.0, 439.0, 2.8318984508514404, 0.01321133878082037, 762.7142857142857, 192.82687593183854, 117989
02/06/2019 14:39:37, 24, 537.7, 206.31483223462146, 1000.0, 241.0, 2.8354132175445557, 0.005047133192420006, 537.7, 206.31483223462146, 123366
02/06/2019 14:39:40, 25, 457.1818181818182, 117.00024722725874, 640.0, 271.0, 2.7817275524139404, 0.004572167526930571, 457.1818181818182, 117.00024722725874, 128395
02/06/2019 14:39:44, 26, 624.8888888888889, 113.66367976959673, 777.0, 451.0, 2.8543388843536377, 0.06593406200408936, 624.8888888888889, 113.66367976959673, 134019
02/06/2019 14:39:47, 27, 1000.0, 0.0, 1000.0, 1000.0, 2.8039004802703857, 0.008715789765119553, 1000.0, 0.0, 140019
02/06/2019 14:39:51, 28, 1000.0, 0.0, 1000.0, 1000.0, 2.7613046169281006, -0.00027440142002888024, 1000.0, 0.0, 146019
02/06/2019 14:39:55, 29, 1000.0, 0.0, 1000.0, 1000.0, 2.8175625801086426, 0.007995499297976494, 1000.0, 0.0, 152019
02/06/2019 14:39:58, 30, 1000.0, 0.0, 1000.0, 1000.0, 2.7477991580963135, 0.00026103638811036944, 1000.0, 0.0, 158019
