MeanReturn, Timesteps, Time, Iteration, StdReturn, MaxReturn, MinReturn, EpLenMean, EpLenStd, Entropy, KL
22.53932584269663, 2006, 10/06/2019 13:02:37, 1, 11.158768587951114, 74.0, 10.0, 22.53932584269663, 11.158768587951114, 0.7504818439483643, 0.05795414000749588
31.56923076923077, 4058, 10/06/2019 13:02:39, 2, 16.73684946988276, 83.0, 10.0, 31.56923076923077, 16.73684946988276, 0.6987196207046509, 0.03444187343120575
45.63636363636363, 6066, 10/06/2019 13:02:41, 3, 21.694250295130473, 121.0, 13.0, 45.63636363636363, 21.694250295130473, 0.6260526776313782, 0.005685833748430014
53.13157894736842, 8085, 10/06/2019 13:02:42, 4, 24.86296236386415, 120.0, 17.0, 53.13157894736842, 24.86296236386415, 0.6052312254905701, 0.006251283455640078
60.81818181818182, 10092, 10/06/2019 13:02:44, 5, 20.59192920076617, 109.0, 28.0, 60.81818181818182, 20.59192920076617, 0.5813244581222534, 0.006755037233233452
72.64285714285714, 12126, 10/06/2019 13:02:46, 6, 33.55721583644682, 170.0, 29.0, 72.64285714285714, 33.55721583644682, 0.5546063184738159, 0.0018887462792918086
74.92592592592592, 14149, 10/06/2019 13:02:48, 7, 34.790298696647035, 169.0, 32.0, 74.92592592592592, 34.790298696647035, 0.5457875728607178, 0.003997767809778452
85.375, 16198, 10/06/2019 13:02:49, 8, 36.11533896190555, 169.0, 39.0, 85.375, 36.11533896190555, 0.5481414794921875, 0.0040136114694178104
113.27777777777777, 18237, 10/06/2019 13:02:51, 9, 51.33312289519155, 211.0, 45.0, 113.27777777777777, 51.33312289519155, 0.535094141960144, 0.018433932214975357
142.2, 20370, 10/06/2019 13:02:53, 10, 42.99643396065927, 246.0, 76.0, 142.2, 42.99643396065927, 0.5612043142318726, 0.02441299706697464
160.15384615384616, 22452, 10/06/2019 13:02:55, 11, 59.6629586850439, 313.0, 87.0, 160.15384615384616, 59.6629586850439, 0.5178995132446289, 0.009479336440563202
