MeanReturn, Timesteps, Time, Iteration, StdReturn, MaxReturn, MinReturn, EpLenMean, EpLenStd, Entropy, KL
28.863636363636363, 2540, 11/06/2019 12:23:41, 1, 16.092899209237522, 79.0, 10.0, 28.863636363636363, 16.092899209237522, 0.6818474531173706, 0.1562158465385437
44.875, 5053, 11/06/2019 12:23:43, 2, 29.948803040713138, 202.0, 14.0, 44.875, 29.948803040713138, 0.6179919838905334, 0.05994849279522896
65.1025641025641, 7592, 11/06/2019 12:23:44, 3, 29.521652090344244, 139.0, 32.0, 65.1025641025641, 29.521652090344244, 0.5675276517868042, 0.016731662675738335
87.72413793103448, 10136, 11/06/2019 12:23:46, 4, 45.02634979632454, 210.0, 34.0, 87.72413793103448, 45.02634979632454, 0.5348294973373413, 0.020781662315130234
102.32, 12694, 11/06/2019 12:23:48, 5, 38.64165627920211, 190.0, 42.0, 102.32, 38.64165627920211, 0.5064874291419983, 0.05707385763525963
123.14285714285714, 15280, 11/06/2019 12:23:49, 6, 31.650300102821134, 201.0, 66.0, 123.14285714285714, 31.650300102821134, 0.48581913113594055, 0.06796454638242722
140.22222222222223, 17804, 11/06/2019 12:23:51, 7, 39.19545829069082, 207.0, 93.0, 140.22222222222223, 39.19545829069082, 0.4538356363773346, 0.050289954990148544
155.1764705882353, 20442, 11/06/2019 12:23:53, 8, 34.615935286780086, 206.0, 94.0, 155.1764705882353, 34.615935286780086, 0.4679064452648163, 0.0061635165475308895
152.76470588235293, 23039, 11/06/2019 12:23:55, 9, 38.55253010963964, 233.0, 102.0, 152.76470588235293, 38.55253010963964, 0.4360505938529968, 0.009778501465916634
185.35714285714286, 25634, 11/06/2019 12:23:56, 10, 70.80113714064319, 335.0, 93.0, 185.35714285714286, 70.80113714064319, 0.4368405044078827, 0.009003235027194023
191.71428571428572, 28318, 11/06/2019 12:23:58, 11, 72.23911541483857, 346.0, 83.0, 191.71428571428572, 72.23911541483857, 0.44072791934013367, 0.01223532110452652
365.5, 31242, 11/06/2019 12:24:01, 12, 108.67267365810045, 500.0, 184.0, 365.5, 108.67267365810045, 0.3933835029602051, 0.0028255400247871876
433.3333333333333, 33842, 11/06/2019 12:24:02, 13, 76.24011775670047, 500.0, 294.0, 433.3333333333333, 76.24011775670047, 0.38468584418296814, 0.013472206890583038
500.0, 36842, 11/06/2019 12:24:04, 14, 0.0, 500.0, 500.0, 500.0, 0.0, 0.35814234614372253, 9.463322203373536e-05
500.0, 39842, 11/06/2019 12:24:07, 15, 0.0, 500.0, 500.0, 500.0, 0.0, 0.3543199300765991, 0.0009625594830140471
500.0, 42842, 11/06/2019 12:24:09, 16, 0.0, 500.0, 500.0, 500.0, 0.0, 0.3798423707485199, 0.0010449993424117565
500.0, 45842, 11/06/2019 12:24:11, 17, 0.0, 500.0, 500.0, 500.0, 0.0, 0.3757208287715912, 0.008570061065256596
500.0, 48842, 11/06/2019 12:24:13, 18, 0.0, 500.0, 500.0, 500.0, 0.0, 0.3989221751689911, 0.0007038760231807828
500.0, 51842, 11/06/2019 12:24:15, 19, 0.0, 500.0, 500.0, 500.0, 0.0, 0.4060443043708801, -0.0006597035680897534
500.0, 54842, 11/06/2019 12:24:17, 20, 0.0, 500.0, 500.0, 500.0, 0.0, 0.4083873927593231, 0.005288861691951752
500.0, 57842, 11/06/2019 12:24:19, 21, 0.0, 500.0, 500.0, 500.0, 0.0, 0.41568830609321594, 0.0021171392872929573
500.0, 60842, 11/06/2019 12:24:21, 22, 0.0, 500.0, 500.0, 500.0, 0.0, 0.3962833285331726, 0.010270839557051659
500.0, 63842, 11/06/2019 12:24:23, 23, 0.0, 500.0, 500.0, 500.0, 0.0, 0.35077524185180664, 0.02489115297794342
500.0, 66842, 11/06/2019 12:24:25, 24, 0.0, 500.0, 500.0, 500.0, 0.0, 0.3145805299282074, 0.006884094327688217
434.0, 69446, 11/06/2019 12:24:27, 25, 88.47598544237866, 500.0, 292.0, 434.0, 88.47598544237866, 0.28618335723876953, 0.0009655957110226154
430.8333333333333, 72031, 11/06/2019 12:24:29, 26, 99.0192181122208, 500.0, 260.0, 430.8333333333333, 99.0192181122208, 0.2697272300720215, 0.008052834309637547
343.0, 74775, 11/06/2019 12:24:31, 27, 53.816818932374666, 429.0, 253.0, 343.0, 53.816818932374666, 0.28422486782073975, 0.00316267809830606
345.5, 77539, 11/06/2019 12:24:33, 28, 101.92889678594584, 500.0, 168.0, 345.5, 101.92889678594584, 0.26987171173095703, 0.019207341596484184
376.85714285714283, 80177, 11/06/2019 12:24:35, 29, 77.26656747248187, 500.0, 272.0, 376.85714285714283, 77.26656747248187, 0.24564675986766815, 0.031756892800331116
447.3333333333333, 82861, 11/06/2019 12:24:37, 30, 85.03071340534679, 500.0, 262.0, 447.3333333333333, 85.03071340534679, 0.24495325982570648, 0.02910662814974785
