MeanReturn, Timesteps, Time, Iteration, StdReturn, MaxReturn, MinReturn, EpLenMean, EpLenStd, NEpisodes
226.57394771308907, 391000, 13/06/2019 11:51:53, 389, 271.2788931956492, 684.2294530538757, -23.692549562506617, 385.55247524752474, 452.010684749306, 1011
227.01017495671547, 392000, 13/06/2019 11:52:17, 390, 271.4988830779369, 684.2294530538757, -23.692549562506617, 386.16023738872406, 452.1997755795188, 1012
227.43612737358015, 393000, 13/06/2019 11:52:42, 391, 271.7024791415642, 684.2294530538757, -23.692549562506617, 386.7667984189723, 452.3875998286013, 1013
227.8810028420965, 394000, 13/06/2019 11:53:05, 392, 271.93685197194065, 684.2294530538757, -23.692549562506617, 387.3721618953603, 452.5741649964963, 1014
228.29914404516424, 395000, 13/06/2019 11:53:29, 393, 272.1283480687207, 684.2294530538757, -23.692549562506617, 387.97633136094674, 452.75947852739984, 1015
228.70226171827727, 396000, 13/06/2019 11:53:54, 394, 272.29700198289646, 684.2294530538757, -23.692549562506617, 388.5793103448276, 452.9435478102902, 1016
229.1263307075325, 397000, 13/06/2019 11:54:17, 395, 272.49809413093817, 684.2294530538757, -23.692549562506617, 389.18110236220474, 453.1263801794516, 1017
229.5758754138456, 398000, 13/06/2019 11:54:41, 396, 272.74075826928413, 686.3132970279366, -23.692549562506617, 389.78171091445427, 453.3079829149904, 1018
230.02288708602308, 399000, 13/06/2019 11:55:04, 397, 272.9792398068469, 686.3132970279366, -23.692549562506617, 390.3811394891945, 453.48836324334695, 1019
230.4317952220146, 400000, 13/06/2019 11:55:29, 398, 273.1570110865473, 686.3132970279366, -23.692549562506617, 390.9793915603533, 453.66752833779975, 1020
230.88344300501416, 401000, 13/06/2019 11:55:54, 399, 273.40347919505973, 691.1125338815401, -23.692549562506617, 391.5764705882353, 453.8454853189641, 1021
231.32384117941368, 402000, 13/06/2019 11:56:18, 400, 273.6312847406101, 691.1125338815401, -23.692549562506617, 392.1723800195886, 454.02224125528545, 1022
231.7442022471585, 403000, 13/06/2019 11:56:43, 401, 273.8270108642654, 691.1125338815401, -23.692549562506617, 392.7671232876712, 454.1978031635268, 1023
232.56848446004284, 404000, 13/06/2019 11:57:08, 402, 274.1933522203225, 691.1125338815401, -23.692549562506617, 393.953125, 454.5453727072902, 1025
232.67431553564217, 405000, 13/06/2019 11:57:32, 403, 274.0804902512336, 691.1125338815401, -23.692549562506617, 394.06048780487805, 454.33657906108857, 1026
