MeanReturn, Timesteps, Time, Iteration, StdReturn, MaxReturn, MinReturn, EpLenMean, EpLenStd, Entropy, KL
22.24778761061947, 2514, 10/06/2019 12:59:54, 1, 10.789646769297788, 74.0, 10.0, 22.24778761061947, 10.789646769297788, 0.692527711391449, 0.2071629911661148
41.622950819672134, 5053, 10/06/2019 12:59:57, 2, 17.481759987949435, 97.0, 12.0, 41.622950819672134, 17.481759987949435, 0.6273630261421204, 0.0652100220322609
61.023809523809526, 7616, 10/06/2019 13:00:01, 3, 21.99186873027013, 108.0, 23.0, 61.023809523809526, 21.99186873027013, 0.5599584579467773, 0.007515080738812685
66.76315789473684, 10153, 10/06/2019 13:00:05, 4, 28.958622214359867, 198.0, 36.0, 66.76315789473684, 28.958622214359867, 0.5394583940505981, 0.01447668019682169
85.1, 12706, 10/06/2019 13:00:08, 5, 33.197740886994104, 183.0, 43.0, 85.1, 33.197740886994104, 0.48836734890937805, 0.00983839575201273
94.4074074074074, 15255, 10/06/2019 13:00:12, 6, 35.669531825997815, 183.0, 44.0, 94.4074074074074, 35.669531825997815, 0.44255268573760986, 0.011300778947770596
129.35, 17842, 10/06/2019 13:00:15, 7, 45.293790965208466, 250.0, 57.0, 129.35, 45.293790965208466, 0.4428783655166626, 0.046580955386161804
164.5625, 20475, 10/06/2019 13:00:18, 8, 40.41807879835458, 248.0, 99.0, 164.5625, 40.41807879835458, 0.44413626194000244, 0.06961842626333237
219.33333333333334, 23107, 10/06/2019 13:00:21, 9, 66.60121787341596, 377.0, 133.0, 219.33333333333334, 66.60121787341596, 0.4007183015346527, 0.023183166980743408
283.6666666666667, 25660, 10/06/2019 13:00:25, 10, 62.9779502859709, 375.0, 188.0, 283.6666666666667, 62.9779502859709, 0.4245227575302124, 0.034290775656700134
448.1666666666667, 28349, 10/06/2019 13:00:27, 11, 92.77646372988262, 500.0, 246.0, 448.1666666666667, 92.77646372988262, 0.4205194413661957, 0.040561046451330185
260.0, 30949, 10/06/2019 13:00:31, 12, 32.385181796618035, 315.0, 224.0, 260.0, 32.385181796618035, 0.38167333602905273, 0.006966637447476387
265.7, 33606, 10/06/2019 13:00:33, 13, 50.26937437446382, 323.0, 138.0, 265.7, 50.26937437446382, 0.39064356684684753, 0.05029577761888504
451.6666666666667, 36316, 10/06/2019 13:00:35, 14, 66.097570975709, 500.0, 308.0, 451.6666666666667, 66.097570975709, 0.3844491243362427, 0.0877123549580574
500.0, 39316, 10/06/2019 13:00:37, 15, 0.0, 500.0, 500.0, 500.0, 0.0, 0.3721765875816345, 0.0354100838303566
420.3333333333333, 41838, 10/06/2019 13:00:38, 16, 98.44400551695477, 500.0, 244.0, 420.3333333333333, 98.44400551695477, 0.37751567363739014, 0.003131669946014881
442.1666666666667, 44491, 10/06/2019 13:00:40, 17, 78.71979138409576, 500.0, 285.0, 442.1666666666667, 78.71979138409576, 0.38137292861938477, 0.006594413425773382
465.3333333333333, 47283, 10/06/2019 13:00:42, 18, 77.51702321999272, 500.0, 292.0, 465.3333333333333, 77.51702321999272, 0.37871819734573364, 0.0009006262989714742
456.1666666666667, 50020, 10/06/2019 13:00:44, 19, 88.54079411334767, 500.0, 259.0, 456.1666666666667, 88.54079411334767, 0.35057738423347473, 0.0020360909402370453
495.0, 52990, 10/06/2019 13:00:46, 20, 11.180339887498949, 500.0, 470.0, 495.0, 11.180339887498949, 0.3699997663497925, 0.005914174951612949
500.0, 55990, 10/06/2019 13:00:48, 21, 0.0, 500.0, 500.0, 500.0, 0.0, 0.35284093022346497, 0.0007256242097355425
500.0, 58990, 10/06/2019 13:00:50, 22, 0.0, 500.0, 500.0, 500.0, 0.0, 0.34279564023017883, 0.0010297662811353803
500.0, 61990, 10/06/2019 13:00:52, 23, 0.0, 500.0, 500.0, 500.0, 0.0, 0.3609289228916168, 0.003117047483101487
500.0, 64990, 10/06/2019 13:00:54, 24, 0.0, 500.0, 500.0, 500.0, 0.0, 0.3248404562473297, 0.010848214849829674
500.0, 67990, 10/06/2019 13:00:56, 25, 0.0, 500.0, 500.0, 500.0, 0.0, 0.33403563499450684, 0.02014004811644554
500.0, 70990, 10/06/2019 13:00:59, 26, 0.0, 500.0, 500.0, 500.0, 0.0, 0.3227025866508484, 0.016239169985055923
500.0, 73990, 10/06/2019 13:01:01, 27, 0.0, 500.0, 500.0, 500.0, 0.0, 0.35318803787231445, 0.010793258436024189
500.0, 76990, 10/06/2019 13:01:03, 28, 0.0, 500.0, 500.0, 500.0, 0.0, 0.32747069001197815, 0.015229321084916592
500.0, 79990, 10/06/2019 13:01:05, 29, 0.0, 500.0, 500.0, 500.0, 0.0, 0.3766721785068512, 0.001887120888568461
500.0, 82990, 10/06/2019 13:01:07, 30, 0.0, 500.0, 500.0, 500.0, 0.0, 0.3513045310974121, 0.0010777986608445644
