Time, Iteration, MeanReturn, StdReturn, MaxReturn, MinReturn, PolicyEntopy, KL, EpLenMean, EpLenStd, Timesteps
02/06/2019 14:31:53, 1, 24.585365853658537, 12.333724557144809, 64.0, 10.0, 0.6953760981559753, 0.004400068428367376, 24.585365853658537, 12.333724557144809, 2016
02/06/2019 14:31:54, 2, 23.558139534883722, 11.692379401710896, 72.0, 9.0, 0.6945777535438538, 0.006680713500827551, 23.558139534883722, 11.692379401710896, 4042
02/06/2019 14:31:55, 3, 33.032786885245905, 19.199528010860785, 105.0, 10.0, 0.6756657958030701, 0.0017920957179740071, 33.032786885245905, 19.199528010860785, 6057
02/06/2019 14:31:56, 4, 38.37735849056604, 21.176015638109234, 94.0, 10.0, 0.6622104644775391, 8.164071914507076e-05, 38.37735849056604, 21.176015638109234, 8091
02/06/2019 14:31:56, 5, 40.09803921568628, 25.185784118139363, 138.0, 15.0, 0.6661197543144226, 0.005064161028712988, 40.09803921568628, 25.185784118139363, 10136
02/06/2019 14:31:57, 6, 54.75675675675676, 34.21348351668153, 158.0, 17.0, 0.6414263248443604, 0.0017131917411461473, 54.75675675675676, 34.21348351668153, 12162
02/06/2019 14:31:58, 7, 53.30769230769231, 22.24243328110258, 106.0, 11.0, 0.623961329460144, 0.0011948499595746398, 53.30769230769231, 22.24243328110258, 14241
02/06/2019 14:31:59, 8, 69.55172413793103, 39.932344686979775, 173.0, 24.0, 0.615713894367218, 2.9162169084884226e-05, 69.55172413793103, 39.932344686979775, 16258
02/06/2019 14:32:00, 9, 78.88461538461539, 35.931908813837275, 166.0, 29.0, 0.6092721223831177, 0.0029505358543246984, 78.88461538461539, 35.931908813837275, 18309
02/06/2019 14:32:01, 10, 79.3076923076923, 30.794316696890714, 166.0, 36.0, 0.6003960371017456, 0.0004641771374735981, 79.3076923076923, 30.794316696890714, 20371
02/06/2019 14:32:02, 11, 93.13636363636364, 40.65296081640913, 200.0, 40.0, 0.5737679600715637, -0.0007149897865019739, 93.13636363636364, 40.65296081640913, 22420
02/06/2019 14:32:03, 12, 89.08695652173913, 46.93373037868372, 200.0, 39.0, 0.5976025462150574, 0.008159608580172062, 89.08695652173913, 46.93373037868372, 24469
02/06/2019 14:32:04, 13, 113.83333333333333, 47.09830145557268, 200.0, 42.0, 0.5718930959701538, 0.009666157886385918, 113.83333333333333, 47.09830145557268, 26518
02/06/2019 14:32:04, 14, 125.375, 40.44112232616696, 200.0, 31.0, 0.5715548992156982, 0.0045366911217570305, 125.375, 40.44112232616696, 28524
02/06/2019 14:32:05, 15, 137.26666666666668, 40.06073167357559, 200.0, 59.0, 0.5473458766937256, 0.0013965299585834146, 137.26666666666668, 40.06073167357559, 30583
02/06/2019 14:32:06, 16, 144.71428571428572, 33.67158312589537, 187.0, 52.0, 0.556435763835907, 0.002522882539778948, 144.71428571428572, 33.67158312589537, 32609
02/06/2019 14:32:07, 17, 125.82352941176471, 37.31619313242167, 180.0, 41.0, 0.5449296236038208, 0.009066242724657059, 125.82352941176471, 37.31619313242167, 34748
02/06/2019 14:32:08, 18, 170.08333333333334, 25.74379644799025, 200.0, 119.0, 0.528732180595398, 0.006665922701358795, 170.08333333333334, 25.74379644799025, 36789
02/06/2019 14:32:09, 19, 195.27272727272728, 11.258054967572889, 200.0, 162.0, 0.5451646447181702, 0.018113575875759125, 195.27272727272728, 11.258054967572889, 38937
02/06/2019 14:32:10, 20, 200.0, 0.0, 200.0, 200.0, 0.5115753412246704, 0.00448228232562542, 200.0, 0.0, 41137
02/06/2019 14:32:11, 21, 199.54545454545453, 1.4373989364401727, 200.0, 195.0, 0.509329617023468, -0.002708570798859, 199.54545454545453, 1.4373989364401727, 43332
02/06/2019 14:32:12, 22, 200.0, 0.0, 200.0, 200.0, 0.5165708065032959, 0.003974267281591892, 200.0, 0.0, 45532
02/06/2019 14:32:13, 23, 195.8181818181818, 13.224070215249585, 200.0, 154.0, 0.5170055031776428, -0.0011515464866533875, 195.8181818181818, 13.224070215249585, 47686
02/06/2019 14:32:14, 24, 200.0, 0.0, 200.0, 200.0, 0.5110982656478882, 0.0005300081102177501, 200.0, 0.0, 49886
02/06/2019 14:32:15, 25, 200.0, 0.0, 200.0, 200.0, 0.5082188248634338, 0.0008731529815122485, 200.0, 0.0, 52086
02/06/2019 14:32:16, 26, 195.8181818181818, 13.224070215249586, 200.0, 154.0, 0.5074476003646851, 0.0013949853600934148, 195.8181818181818, 13.224070215249586, 54240
02/06/2019 14:32:17, 27, 194.45454545454547, 17.5362670245701, 200.0, 139.0, 0.49879878759384155, 0.0008078389801084995, 194.45454545454547, 17.5362670245701, 56379
02/06/2019 14:32:17, 28, 200.0, 0.0, 200.0, 200.0, 0.48680999875068665, 0.0008761020726524293, 200.0, 0.0, 58579
02/06/2019 14:32:18, 29, 200.0, 0.0, 200.0, 200.0, 0.49823760986328125, 0.004576058592647314, 200.0, 0.0, 60779
02/06/2019 14:32:19, 30, 200.0, 0.0, 200.0, 200.0, 0.47237834334373474, 0.0011776249157264829, 200.0, 0.0, 62979
