MeanReturn, Timesteps, Time, Iteration, StdReturn, MaxReturn, MinReturn, EpLenMean, EpLenStd, Entropy, KL
23.70754716981132, 2513, 09/06/2019 18:25:02, 1, 11.351142392123604, 60.0, 9.0, 23.70754716981132, 11.351142392123604, 0.6904106736183167, 0.11857977509498596
43.1551724137931, 5016, 09/06/2019 18:25:05, 2, 24.410146084503985, 155.0, 11.0, 43.1551724137931, 24.410146084503985, 0.627833366394043, 0.02825397066771984
63.95, 7574, 09/06/2019 18:25:06, 3, 30.240659715026055, 164.0, 18.0, 63.95, 30.240659715026055, 0.5976194143295288, 0.013289029709994793
68.1891891891892, 10097, 09/06/2019 18:25:08, 4, 22.766544726902353, 123.0, 32.0, 68.1891891891892, 22.766544726902353, 0.5704111456871033, 0.011284183710813522
84.96666666666667, 12646, 09/06/2019 18:25:10, 5, 30.787966624785227, 214.0, 50.0, 84.96666666666667, 30.787966624785227, 0.5353387594223022, 0.006030868273228407
90.96428571428571, 15193, 09/06/2019 18:25:12, 6, 32.175281265123324, 161.0, 36.0, 90.96428571428571, 32.175281265123324, 0.5478872060775757, 0.010140739381313324
105.95833333333333, 17736, 09/06/2019 18:25:13, 7, 59.32851981879279, 367.0, 59.0, 105.95833333333333, 59.32851981879279, 0.5113435983657837, 0.0342893972992897
171.875, 20486, 09/06/2019 18:25:15, 8, 55.85346341096495, 287.0, 81.0, 171.875, 55.85346341096495, 0.5075584650039673, 0.05695588141679764
281.3333333333333, 23018, 09/06/2019 18:25:17, 9, 100.60483752451138, 500.0, 149.0, 281.3333333333333, 100.60483752451138, 0.5241692662239075, 0.08992923051118851
446.5, 25697, 09/06/2019 18:25:20, 10, 52.75335692320126, 500.0, 357.0, 446.5, 52.75335692320126, 0.5018537640571594, 0.045598141849040985
252.8181818181818, 28478, 09/06/2019 18:25:22, 11, 125.2494370749957, 500.0, 83.0, 252.8181818181818, 125.2494370749957, 0.49926477670669556, 0.005643455311655998
313.125, 30983, 09/06/2019 18:25:26, 12, 117.56746733259163, 500.0, 138.0, 313.125, 117.56746733259163, 0.49332135915756226, 0.0055223554372787476
436.3333333333333, 33601, 09/06/2019 18:25:28, 13, 91.28100690845945, 500.0, 283.0, 436.3333333333333, 91.28100690845945, 0.5027402639389038, -0.0005349209532141685
411.7142857142857, 36483, 09/06/2019 18:25:32, 14, 112.33968168742803, 500.0, 176.0, 411.7142857142857, 112.33968168742803, 0.48567381501197815, 0.004963493440300226
494.3333333333333, 39449, 09/06/2019 18:25:35, 15, 12.671051872498808, 500.0, 466.0, 494.3333333333333, 12.671051872498808, 0.4792172908782959, 0.002325692679733038
500.0, 42449, 09/06/2019 18:25:38, 16, 0.0, 500.0, 500.0, 500.0, 0.0, 0.4982641041278839, 0.03411247953772545
500.0, 45449, 09/06/2019 18:25:42, 17, 0.0, 500.0, 500.0, 500.0, 0.0, 0.5050849318504333, 0.0027956499252468348
500.0, 48449, 09/06/2019 18:25:44, 18, 0.0, 500.0, 500.0, 500.0, 0.0, 0.5021139979362488, 0.03150934353470802
500.0, 51449, 09/06/2019 18:25:46, 19, 0.0, 500.0, 500.0, 500.0, 0.0, 0.49186334013938904, 0.009371503256261349
500.0, 54449, 09/06/2019 18:25:50, 20, 0.0, 500.0, 500.0, 500.0, 0.0, 0.45246919989585876, 0.0006988716195337474
500.0, 57449, 09/06/2019 18:25:53, 21, 0.0, 500.0, 500.0, 500.0, 0.0, 0.4518323540687561, -0.0025693976785987616
500.0, 60449, 09/06/2019 18:25:56, 22, 0.0, 500.0, 500.0, 500.0, 0.0, 0.43872344493865967, 6.0332655266392976e-05
500.0, 63449, 09/06/2019 18:25:59, 23, 0.0, 500.0, 500.0, 500.0, 0.0, 0.43550634384155273, 0.0009768024319782853
500.0, 66449, 09/06/2019 18:26:01, 24, 0.0, 500.0, 500.0, 500.0, 0.0, 0.4158531725406647, 0.01000074204057455
500.0, 69449, 09/06/2019 18:26:03, 25, 0.0, 500.0, 500.0, 500.0, 0.0, 0.4144548773765564, 0.013026685453951359
500.0, 72449, 09/06/2019 18:26:05, 26, 0.0, 500.0, 500.0, 500.0, 0.0, 0.458301842212677, -4.948291098116897e-05
500.0, 75449, 09/06/2019 18:26:07, 27, 0.0, 500.0, 500.0, 500.0, 0.0, 0.4595823287963867, -0.0003613102016970515
500.0, 78449, 09/06/2019 18:26:10, 28, 0.0, 500.0, 500.0, 500.0, 0.0, 0.42933177947998047, 0.0013252614298835397
500.0, 81449, 09/06/2019 18:26:12, 29, 0.0, 500.0, 500.0, 500.0, 0.0, 0.4575991928577423, 0.012340585701167583
500.0, 84449, 09/06/2019 18:26:13, 30, 0.0, 500.0, 500.0, 500.0, 0.0, 0.42256760597229004, 0.007950443774461746
