MeanReturn, Timesteps, Time, Iteration, StdReturn, MaxReturn, MinReturn, EpLenMean, EpLenStd, Entropy, KL
-491.6132908032135, 40051, 09/06/2019 16:10:17, 1, 162.59064866652702, -25.47288241675544, -761.1797301242062, 115.42074927953891, 26.010005313029545, 1.2372428178787231, 1.7713075876235962
-260.2043260389019, 80081, 09/06/2019 16:11:44, 2, 109.4499429068287, 51.62946194905737, -602.5010353024095, 106.74666666666667, 50.394151336131145, 1.2669018507003784, 0.32543623447418213
-76.23035464101635, 120099, 09/06/2019 16:12:55, 3, 37.97506988473724, 33.91633192525575, -296.95178889153794, 87.56673960612692, 14.08602939660266, 1.3025556802749634, 0.1146826297044754
-78.90841540485872, 160110, 09/06/2019 16:14:14, 4, 55.56685916691982, 86.21277397549267, -328.8734673029895, 87.36026200873363, 44.51964771026116, 1.301906704902649, 0.11225534230470657
-87.64478746292721, 200125, 09/06/2019 16:15:28, 5, 65.51280505500864, 42.67281353912941, -455.30842072731946, 87.75219298245614, 14.041995113578958, 1.3063539266586304, 0.047784484922885895
-43.63583203845032, 241075, 09/06/2019 16:17:23, 6, 39.20934271797312, 70.68986909101044, -203.25473818760918, 107.48031496062993, 116.58287694940908, 1.2803908586502075, 0.09997044503688812
-8.473645352068486, 281095, 09/06/2019 16:20:13, 7, 60.136963431228814, 99.51935689607357, -346.4627603738834, 162.6829268292683, 215.89003965144374, 1.280495524406433, 0.019471116364002228
-22.925957610653327, 321600, 09/06/2019 16:24:21, 8, 86.21007304285872, 100.71790750489913, -288.8036647524805, 343.26271186440675, 371.8747152789931, 1.279020071029663, 0.004170355387032032
-36.52037545182329, 361767, 09/06/2019 16:28:25, 9, 75.57993820524229, 86.09935906110715, -242.50006909270147, 409.8673469387755, 378.4034300486098, 1.301770806312561, 0.024634310975670815
-64.82121484764409, 402311, 09/06/2019 16:32:54, 10, 104.92342715125854, 68.59775020974584, -585.2840650009794, 488.48192771084337, 399.1508867537236, 1.3164520263671875, 0.02774999476969242
-39.68853461090749, 442978, 09/06/2019 16:37:40, 11, 91.13416767869003, 82.46868385169256, -317.1166196579092, 589.3768115942029, 406.4758081985982, 1.2774897813796997, 0.00612478144466877
-69.68049494358522, 483012, 09/06/2019 16:42:28, 12, 117.70722432827465, 71.51630921973366, -442.70179316728576, 690.2413793103449, 369.8910515434113, 1.2705976963043213, 0.05405750125646591
-97.34726383973026, 523307, 09/06/2019 16:47:10, 13, 91.58544792408684, 57.60538298146204, -317.40979449429017, 706.9298245614035, 306.4296868290418, 1.2110108137130737, 0.0007493178709410131
-78.34863237554629, 564084, 09/06/2019 16:52:25, 14, 86.5371216823675, 43.74307292540831, -300.7582533497109, 784.1730769230769, 278.47142659345513, 1.2707360982894897, 0.0009130535181611776
-75.43357932856252, 604965, 09/06/2019 16:57:24, 15, 116.29505672830668, 53.28851555517278, -546.8369092950525, 817.62, 288.10712521560447, 1.2344739437103271, 0.01169538963586092
-59.066557927135285, 645834, 09/06/2019 17:02:43, 16, 93.87229543258339, 46.11345287708565, -524.6852635377284, 851.4375, 268.8606288775221, 1.215432047843933, 0.006811225321143866
-40.3949294241087, 685890, 09/06/2019 17:07:44, 17, 65.79850909236642, 66.68336292934605, -218.58157993904757, 910.3636363636364, 215.10389571184717, 1.2517567873001099, 0.0018176696030423045
-28.932149159560588, 726283, 09/06/2019 17:13:13, 18, 62.70009218784151, 48.79097986776837, -262.45056053079435, 961.7380952380952, 139.70872071560504, 1.2645576000213623, 0.007041768170893192
-21.795210885680472, 766504, 09/06/2019 17:18:09, 19, 79.03242110249056, 81.06477760857516, -269.4980294550755, 957.6428571428571, 152.55456813384316, 1.203296184539795, 0.0069791642017662525
-18.738203785072592, 806690, 09/06/2019 17:23:21, 20, 44.64586109906995, 58.6664387171944, -100.2575870682789, 980.1463414634146, 125.56556172571025, 1.2552090883255005, 0.00431266101077199
-9.66604359497239, 847066, 09/06/2019 17:28:43, 21, 50.25385386562205, 67.22839464845563, -124.48228902442446, 961.3333333333334, 158.20205083654537, 1.2270563840866089, 0.00013753425446338952
14.687121721634682, 887565, 09/06/2019 17:34:38, 22, 48.06355908176359, 79.11232301993208, -133.49034226015988, 941.8372093023256, 212.89902948346833, 1.2035170793533325, 0.010286903008818626
17.82741748245156, 928565, 09/06/2019 17:40:40, 23, 44.20681754010868, 93.23282139581217, -85.49598114102656, 1000.0, 0.0, 1.2362511157989502, 0.0845017060637474
25.778293817418767, 969106, 09/06/2019 17:45:46, 24, 55.32361459270385, 84.11197917112331, -195.29389753602004, 942.8139534883721, 200.08245460936715, 1.282342553138733, 0.06501280516386032
40.52660550368487, 1009455, 09/06/2019 17:50:46, 25, 27.92052271825267, 99.52487519193309, -34.28611601096138, 806.98, 363.4979774359137, 1.209864616394043, 0.05959515646100044
51.63594234149529, 1049666, 09/06/2019 17:55:20, 26, 33.82530365230779, 121.90688233382043, -10.476362863541013, 718.0535714285714, 409.7294150517796, 1.1872090101242065, 0.1240631565451622
65.78159901258825, 1089966, 09/06/2019 17:59:34, 27, 47.30803599269037, 223.38143702855706, -16.27476643107765, 575.7142857142857, 438.7537592140833, 1.1626012325286865, 0.09126929938793182
65.74742465539047, 1130465, 09/06/2019 18:02:55, 28, 50.3681603086241, 156.95731908791362, -33.01265041827051, 487.93975903614455, 437.3475183337766, 1.2139326333999634, 0.1171407625079155
67.16844153260064, 1170910, 09/06/2019 18:05:34, 29, 64.46355155572681, 194.1558544792042, -22.193627718599032, 430.2659574468085, 429.04367122686705, 1.2877334356307983, 0.04808388277888298
