Time, Iteration, MeanReturn, StdReturn, MaxReturn, MinReturn, PolicyEntopy, KL, EpLenMean, EpLenStd, Timesteps
01/06/2019 23:24:47, 1, -22.930510536704286, 8.060165935193183, -3.071228278036869, -89.7340281041412, 9.263031005859375, 0.4492856562137604, 15.671262926982138, 4.200332574407983, 50007
01/06/2019 23:27:41, 2, -15.464888067881434, 6.107793972815571, 0.9220430914618194, -56.97728044353861, 9.243412971496582, 0.1659420132637024, 16.91173486641867, 3.715534335837814, 100015
01/06/2019 23:30:39, 3, -11.918613723981371, 5.238134263154564, 5.095161685466884, -55.56994675589958, 9.216940879821777, 0.13015641272068024, 18.30941047235445, 4.294263464253787, 150018
01/06/2019 23:33:36, 4, -9.93612674359945, 4.525114361620124, 4.621777698381629, -39.629246488718486, 9.175080299377441, 0.129851296544075, 17.77043354655295, 4.723698365822038, 200024
01/06/2019 23:36:32, 5, -8.482369142169526, 4.297468925090989, 3.9283019625028825, -43.023142594072844, 9.141444206237793, 0.2281481772661209, 17.022464261402316, 4.882364220414673, 250036
01/06/2019 23:39:29, 6, -7.25029009419077, 4.4231233510048025, 9.262659613280267, -36.02529116252845, 9.056464195251465, 0.11581932753324509, 18.48152254249815, 5.256241709929454, 300047
01/06/2019 23:42:27, 7, -7.329973355971349, 4.786577244553792, 15.580028580754883, -37.65539435751707, 9.107102394104004, 0.03516245633363724, 21.29076202639421, 7.365840222707164, 350059
01/06/2019 23:45:23, 8, -6.832586387232028, 4.974821928986528, 14.692631862319827, -38.606828780553776, 9.054840087890625, 0.05143390968441963, 23.07660359944624, 8.790576923088942, 400066
01/06/2019 23:48:19, 9, -6.252978239580037, 4.747409884829, 14.043576580416993, -26.563439451082374, 9.05100154876709, 0.061896346509456635, 23.028545119705342, 7.827450580992008, 450084
01/06/2019 23:51:16, 10, -5.635111320263404, 4.02079950762997, 9.998574339583863, -24.8570053250558, 9.002745628356934, 0.052931640297174454, 19.876788553259143, 5.188566847851394, 500094
01/06/2019 23:54:12, 11, -5.326300530756133, 3.545686981737524, 8.410104061428866, -28.640551032171057, 8.960772514343262, 0.013659682124853134, 17.637389770723104, 4.089528792418798, 550096
01/06/2019 23:57:09, 12, -4.982301742469668, 3.6321631395232763, 7.124764679787038, -27.884616199893937, 8.971335411071777, 0.03651856631040573, 18.444854297307266, 4.387598032502119, 600100
02/06/2019 00:00:05, 13, -4.563930660602516, 4.2830907133045395, 15.285392836507523, -29.008351153589317, 8.908763885498047, 0.042273614555597305, 21.221043699618157, 5.062437321118146, 650118
02/06/2019 00:03:00, 14, -3.556316359074621, 5.2465245461982235, 16.820210885860437, -22.72685180125118, 8.886161804199219, 0.06437914818525314, 24.71294466403162, 6.618418904792101, 700137
02/06/2019 00:05:55, 15, -2.991519183976321, 6.9244793158493065, 21.409869677078678, -30.161339414663956, 8.795574188232422, 0.051969725638628006, 29.5380980507974, 8.795799643120338, 750145
02/06/2019 00:08:51, 16, -1.9991724274589926, 7.590460081690912, 22.481922589849272, -33.48500624645385, 8.823777198791504, 0.06832048296928406, 32.87902695595003, 11.13132831512495, 800154
02/06/2019 00:11:45, 17, -1.4128621013338294, 7.546063651436236, 21.381467832945052, -29.776807347114666, 8.80502700805664, 0.026993652805685997, 33.78325455773126, 12.700715997219216, 850187
02/06/2019 00:14:40, 18, -0.21330980676785807, 8.14287111584181, 24.193794268087363, -26.93229560328763, 8.786819458007812, 0.0479314923286438, 36.11407942238267, 15.537679262364701, 900205
02/06/2019 00:17:34, 19, 1.0633978571286, 8.410499734296584, 27.791125960800848, -23.37299895857868, 8.692421913146973, 0.03635769709944725, 38.38066001534919, 16.46012397347276, 950215
02/06/2019 00:20:29, 20, 2.0185583172851724, 9.03575184574052, 34.96230785833322, -22.822113194380652, 8.743745803833008, 0.02819204516708851, 40.1661316211878, 19.223961162789898, 1000262
02/06/2019 00:23:23, 21, 2.08979307510491, 9.255511281090769, 31.190552471281265, -27.908363868451858, 8.67868423461914, 0.01977512612938881, 40.469255663430424, 19.983080053953817, 1050282
02/06/2019 00:26:15, 22, 2.761028129875321, 9.191798520814448, 28.593351240365884, -27.991756176993658, 8.656095504760742, 0.011158693581819534, 40.03362690152122, 20.184627950509995, 1100284
02/06/2019 00:29:09, 23, 3.3896603005882437, 9.735224812350577, 29.474647620310126, -31.920556641288563, 8.67789363861084, 0.0180558729916811, 41.408940397350996, 21.200087143776845, 1150306
02/06/2019 00:32:02, 24, 5.204776976611143, 9.573178037211507, 32.53877953974588, -33.815592824823405, 8.642987251281738, 0.018575338646769524, 42.82277397260274, 22.55253217209919, 1200323
02/06/2019 00:34:55, 25, 5.273534867763387, 9.399108771592477, 40.14848547852016, -29.93635479245422, 8.542886734008789, 0.019673718139529228, 44.464888888888886, 24.477869607937897, 1250346
02/06/2019 00:37:49, 26, 5.5329108517295875, 9.303458475231148, 36.3924744505799, -34.191303327673815, 8.584870338439941, 0.005621860735118389, 44.28963684676705, 25.721067809767817, 1300349
02/06/2019 00:40:41, 27, 6.822737419578941, 8.773442358253382, 28.0707453287192, -25.714419899013595, 8.473155975341797, 0.010004506446421146, 45.1743450767841, 23.753958475804883, 1350357
02/06/2019 00:43:32, 28, 7.369377020952555, 8.920383463635893, 34.70141208076238, -27.826432961199334, 8.544411659240723, 0.03074672445654869, 48.52085354025218, 28.38944390724557, 1400382
02/06/2019 00:46:23, 29, 9.476688273555498, 9.223755523300916, 47.505613934561566, -28.91730808446883, 8.525472640991211, 0.05348283797502518, 50.18555667001003, 25.102371585044093, 1450417
